"hist1";"hist2";"hist3";"hist4";"hist5";"hist6";"hist7";"hist8";"hist9";"hist10";"histn";"geo1";"geo2";"geo3";"geo4";"geo5";"geo6";"geo7";"geo8";"geo9";"geo10";"geon";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"eco7";"eco8";"eco9";"eco10";"econ";"litt1";"litt2";"litt3";"litt4";"litt5";"litt6";"litt7";"litt8";"litt9";"litt10";"littn";"mat1";"mat2";"mat3";"mat4";"mat5";"mat6";"mat7";"mat8";"mat9";"mat10";"matn";"sport1";"sport2";"sport3";"sport4";"sport5";"sport6";"sport7";"sport8";"sport9";"sport10";"sportn";"sexe";"annee";"bac"
"21";"Le griffon";"Chine";"Lisbonne";"Louis XVI";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"La Russie";24;"La Volga";"La Tanzanie";6;7;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";7;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un peintre";8;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Laplace et Galton";"L'ensemble des complexes";"8 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";NA;6;"Italie";"Le surf";"Le handball";"300 points";"Bleue";"Les attaquants";16;4;1940;88;6;"Une femme";"L1";"Bac S"
"22";"Le sphinx";"France";"Rome";"Louis XVII";"Angleterre";"Yuri Gagarine";"500 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";6;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"La France";"La Chine";6;"La Volga";"Le Kenya";8;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un peintre";3;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"6 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";6;3;"Brésil";"Le surf";"Le volley-ball";"200 points";"Verte";"Les attaquants";12;5;1903;88;3;"Un homme";"L2";"Bac S"
"23";"Le griffon";"Angleterre";"Rome";"Napoléon II";"France";"Neil Armstrong";"500 ans";"François 1er";"La Sorbonne";"Hypérion et Rhéa";5;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Rhin";"Le Kenya";6;6;"Taxe";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des taxes";"Zéro pour les étudiants qui se font payer leurs études";"Réserve de valeur";"La hausse du prix ne modifie pas la quantité consommée";4;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Molière";"Cosette";"Vérone";"Don Giovanni";"Un compositeur d’opéra";5;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";12;3;"Italie";"La pétanque";"Le volley-ball";"400 points";"Bleue";"Les défenseurs";24;4;1896;75;2;"Une femme";"L2";"Bac S"
"24";"Le griffon";"Angleterre";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"500 ans";"François 1er";"La Sorbonne";"Hypérion et Rhéa";5;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Rhin";"Le Kenya";6;7;"Taxe";"Les ressources sont limités";"David Ricardo";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des taxes";"Zéro pour les étudiants qui gagneront un meilleur salaire grâce à leurs études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Molière";"Cosette";"Vérone";"Fidelio";"Un écrivain";4;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"5 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;5;"Italie";"La pétanque";"Le volley-ball";"400 points";"Bleue";"Le goal";24;6;1896;82;5;"Un homme";"L2";"Bac ES"
"25";"Le griffon";"Allemagne";"Lisbonne";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"L'Allemagne";24;"Le Rhin";"Le Sri-Lanka";8;8;"Taxe";"La plupart des méthodes de production ne sont pas efficientes";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Unité de compte";"La hausse du prix modifie la quantité consommée";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un écrivain";8;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Ole Römer";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;8;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les attaquants";16;4;1896;88;8;"Un homme";"L2";"Bac S"
"26";"Le sphinx";"Allemagne";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";8;7;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse du coût du transport";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";8;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"La lettre à Élise";"Un couturier";6;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Ole Römer";"La fission d’atomes de plutonium";"Gausse et Galton";"L'ensemble des complexes";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";12;5;"Brésil";"Le surf";"Le volley-ball";"300 points";"Orange";"Le goal";8;5;1896;82;4;"Un homme";"L1";"Bac ES"
"27";"Le sphinx";"France";"Rome";"Louis XVII";"Angleterre";"Yuri Gagarine";"1000 ans";"François 1er";"Nanterre";"Hypérion et Rhéa";4;"Cuba";"Les mahorais";"Le pôle nord";"La Turquie";"L'Allemagne";"L'Allemagne";12;"Le Rhin";"La Tanzanie";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";8;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Pierre";"Rossinante";"Voltaire";"Cosette";"Florence";"l’hymne à la joie";"Un peintre";3;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";12;2;"Italie";"La pétanque";"Le volley-ball";"200 points";"Bleue";"Les attaquants";8;5;1903;82;4;"Un homme";"L2";"Bac ES"
"28";"Le sphinx";"Angleterre";"Bruxelles";"Louis XVII";"France";"Yuri Gagarine";"500 ans";"Louis XIV";"Nanterre";"Cronos et Rhéa";4;"Cuba";"Les néo-zélandais";"Le pôle nord";"La Russie";"L'Allemagne";"La Chine";12;"La Volga";"La Tanzanie";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";"Le chat botté";"Une photo";"Jean-Baptiste";"Flicka";"Voltaire";"Cosette";"Venise";"l’hymne à la joie";"Un écrivain";4;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;6;"Italie";"La pétanque";"Le volley-ball";"200 points";"Bleue";"Les centraux";16;6;1903;82;7;"Un homme";"L2";"Bac S"
"29";"Le griffon";"Chine";"Rome";"Napoléon";"France";"Neil Armstrong";"1000 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";7;"Cuba";"Les aborigènes";"Le pôle nord";"La Russie";"Le Royaume-Uni";"La Chine";24;"Le Danube";"La Tanzanie";8;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";8;"Le renard";"Le chat botté";"Une photo";"Jean-Baptiste";"Rossinante";"Diderot";"Cosette";"Venise";"Fidelio";"Un compositeur d’opéra";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse d’un objet dans le vide";"Galilée";"La fusion d’atomes de plutonium";"Gausse et Galton";"L'ensemble des complexes";"7 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";10;5;"Italie";"La pétanque";"Le volley-ball";"200 points";"Bleue";"Les défenseurs";16;5;1896;82;4;"Une femme";"L2";"Bac ES"
"30";"Le griffon";"Allemagne";"Lisbonne";"Napoléon II";"Angleterre";"Michael Coolins";"750 ans";"François 1er";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"L'Espagne";"La Russie";12;"Le Danube";"La Tanzanie";6;5;"Taxe";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";10;"Le renard";"Le Petit Poucet";"Une photo";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"La lettre à Élise";"Un peintre";7;"exponentielle";"E = mc^2";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes de plutonium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;8;"Italie";"La pétanque";"Le volley-ball";"200 points";"Verte";"Le goal";16;4;1740;88;8;"Un homme";"L2";"Bac S"
"31";"Le griffon";"Allemagne";"Lisbonne";"Napoléon II";"Angleterre";"Buzz Aldrin";"1500 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"La Chine";24;"Le Danube";"Le Kenya";6;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un compositeur d’opéra";4;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse d’un objet dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;8;"Italie";"Le surf";"Le volley-ball";"300 points";"Bleue";"Les défenseurs";24;4;1896;72;6;"Un homme";"L2";"Bac S"
"32";"Le griffon";"Angleterre";"Bruxelles";"Napoléon II";"France";"Yuri Gagarine";"1000 ans";"François 1er";"Nanterre";"Cronos et Rhéa";7;"Panama";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"La Chine";24;NA;"Le Sri-Lanka";8;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";10;"Le lièvre";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Venise";"Don Giovanni";"Un peintre";7;"exponentielle";"La découvert du photon";"La vitesse d’un objet dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;8;"Italie";"Le surf";"Le volley-ball";"200 points";"Verte";"Les attaquants";16;5;1896;75;8;"Un homme";"L3";"Bac S"
"33";"Le sphinx";"Chine";"Rome";"Napoléon";"Angleterre";"Neil Armstrong";"500 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";3;"Cuba";"Les aborigènes";"L'équateur";"L'Ukraine";"L'Allemagne";"L'Allemagne";24;"La Volga";"La Tanzanie";8;4;"Taxe";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Intermédiaire des échanges";"La hausse du prix modifie la quantité consommée";5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Venise";"Fidelio";"Un peintre";4;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;5;"Allemagne";"Le rugby à sept";"Le basket-ball";"400 points";"Orange";"Les attaquants";24;5;1903;72;1;"Un homme";"L1";"Bac ES"
"34";"Le griffon";"Angleterre";"Paris";"Napoléon II";"France";"Yuri Gagarine";"1500 ans";"François 1er";"Nanterre";"Cronos et Rhéa";6;"Panama";"Les aborigènes";"Le pôle nord";"La Russie";"Le Royaume-Uni";"La Russie";24;"Le Rhin";"Le Sri-Lanka";6;5;"Taxification";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"Le coût total des dépenses faites pendant la durée des études";"Réserve de valeur";"La hausse du prix modifie la quantité consommée";4;"Le renard";"Le chat botté";"Une bague";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Venise";"Fidelio";"Un peintre";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"8 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;6;"Italie";"Le surf";"Le tennis";"200 points";"Orange";"Les centraux";24;6;1896;75;5;"Une femme";"L1";"Bac S"
"35";"Le griffon";"Allemagne";"Bruxelles";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"François 1er";"La Sorbonne";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"L'Allemagne";12;"Le Danube";"La Tanzanie";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";"Le Petit Poucet";"Une photo";"Jean-Baptiste";"Bucéphale";"Voltaire";"Fantine";"Vérone";"Don Giovanni";"Un peintre";5;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fusion d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";10;4;"Italie";"Le surf";"Le basket-ball";"300 points";"Bleue";"Les attaquants";12;6;1896;72;4;"Un homme";"L1";"Bac S"
"36";"Le sphinx";"Allemagne";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";10;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"L'Allemagne";24;"La Volga";"La Tanzanie";4;8;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";8;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Diderot";"Cosette";"Vérone";"Fidelio";"Un peintre";8;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"Une courbe ayant une ordonnée donnée pour 2 abcisses";6;7;"Allemagne";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les défenseurs";16;4;1903;88;7;"Un homme";"L1";"Bac S"
"37";"Le sphinx";"Chine";"Rome";"Louis XVI";"France";"Neil Armstrong";"750 ans";"Louis XIV";"Nanterre";"Hypérion et Rhéa";5;"Cuba";"Les néo-zélandais";"Le pôle nord";"La Russie";"Le Royaume-Uni";"La Russie";6;"La Loire";"Le Sri-Lanka";6;7;"Tarif";"Les ressources sont limités";"Adam Smith";"Le choc pétrolier";"Un prix";"Les entreprises";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";6;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Fantine";"Vérone";"l’hymne à la joie";"Un compositeur d’opéra";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";10;7;"Italie";"Le rugby à sept";"Le tennis";"200 points";"Bleue";"Les défenseurs";24;4;1896;82;6;"Une femme";"L3";"Bac S"
"38";"Le griffon";"Allemagne";"Bruxelles";"Louis XVI";"Angleterre";"Yuri Gagarine";"750 ans";"François 1er";"La Sorbonne";"Cronos et Rhéa";4;"Cuba";"Les aborigènes";"Le pôle nord";"La Russie";"Le Royaume-Uni";"La Chine";24;"Le Danube";"Le Kenya";8;5;"Taxe";"Les ressources sont limités";"Thomas Malthus";"Le Krash boursier";"Une quantité";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";3;"Le renard";"Le Petit Poucet";"Une bague";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un peintre";5;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"8 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;5;"Italie";"Le surf";"Le volley-ball";"200 points";"Verte";"Les centraux";16;4;1940;82;2;"Une femme";"L2";"Bac S"
"39";"Le sphinx";"Allemagne";"Rome";"Louis XVI";"France";"Yuri Gagarine";"500 ans";"François 1er";"Nanterre";"Cronos et Rhéa";5;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"L'Allemagne";"La Chine";12;"La Volga";"Le Kenya";8;7;"Taxe";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Une quantité";"Les entreprises";"La hausse du prix du baril de pétrole";"Le coût total des dépenses faites pendant la durée des études";"Redistributif";"Un bien dont le prix ne peut pas varier";4;"Le renard";"Le chat botté";"Une bague";"Jean-Pierre";"Flicka";"Voltaire";"Cosette";"Vérone";"Fidelio";"Un peintre";4;"exponentielle";"E = mc^2";"La vitesse de rotation de la terre";"Ole Römer";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";6;5;"Italie";"La pétanque";"Le tennis";"300 points";"Verte";"Les attaquants";16;5;1896;88;5;"Un homme";"L1";"Bac ES"
"40";"Le sphinx";"Allemagne";"Bruxelles";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";6;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";NA;24;"La Volga";"La Tanzanie";8;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";9;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un peintre";9;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Ole Römer";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"8 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";NA;6;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";NA;16;4;NA;88;5;"Une femme";"L1";"Bac ES"
"41";"Le griffon";"France";"Rome";"Napoléon II";"Angleterre";"Yuri Gagarine";"750 ans";"Louis XIV";"Jussieu";"Cronos et Rhéa";5;"Cuba";"Les aborigènes";"Le pôle sud";"La Turquie";"L'Allemagne";"La Chine";24;"Le Rhin";"Le Kenya";6;6;"Taux";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";4;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Florence";"Don Giovanni";"Un compositeur d’opéra";5;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des entiers relatifs";"8 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";10;5;"Allemagne";"Le surf";"Le volley-ball";"300 points";"Bleue";"Les attaquants";16;4;1896;88;7;"Un homme";"L2";"Bac S"
"42";"Le sphinx";"Chine";"Bruxelles";NA;NA;"Neil Armstrong";NA;NA;"La Sorbonne";NA;2;"Panama";"Les néo-zélandais";NA;"La Turquie";"Le Royaume-Uni";NA;12;NA;NA;10;2;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Un prix";"Le gouvernement";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";10;NA;"Le Petit Poucet";NA;NA;NA;NA;NA;NA;NA;NA;1;"exponentielle";"Le mur du son est mesuré à Mach 1";NA;"Galilée";NA;NA;"L'ensemble des réels";"5 ème";NA;NA;10;"Italie";"La pétanque";"Le volley-ball";NA;"Bleue";NA;NA;NA;NA;NA;6;"Un homme";"L1";"Bac ES"
"43";"Le sphinx";"Chine";"Bruxelles";NA;NA;"Neil Armstrong";NA;NA;"La Sorbonne";NA;2;"Panama";"Les néo-zélandais";NA;"La Turquie";"Le Royaume-Uni";NA;12;NA;NA;10;2;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Un prix";"Le gouvernement";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";10;NA;"Le Petit Poucet";NA;NA;NA;NA;NA;NA;NA;NA;1;"exponentielle";"Le mur du son est mesuré à Mach 1";NA;"Galilée";NA;NA;"L'ensemble des réels";"5 ème";NA;NA;10;"Italie";"La pétanque";"Le volley-ball";NA;"Bleue";NA;NA;NA;NA;NA;6;"Un homme";"L1";"Bac ES"
"44";"Le sphinx";"Chine";"Bruxelles";NA;NA;"Neil Armstrong";NA;NA;"La Sorbonne";NA;2;"Panama";"Les néo-zélandais";NA;"La Turquie";"Le Royaume-Uni";NA;12;NA;NA;10;2;"Taxe";"Les ressources sont limités";"Adam Smith";"Une Crise monétaire";"Un prix";"Le gouvernement";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";10;NA;"Le Petit Poucet";NA;NA;NA;NA;NA;NA;NA;NA;1;"exponentielle";"Le mur du son est mesuré à Mach 1";NA;"Galilée";NA;NA;"L'ensemble des réels";"5 ème";NA;NA;10;"Italie";"La pétanque";"Le volley-ball";NA;"Bleue";NA;NA;NA;NA;NA;6;"Un homme";"L1";"Bac ES"
"45";"Le sphinx";"Angleterre";"Lisbonne";"Napoléon II";"Angleterre";"Buzz Aldrin";"500 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";2;"Cuba";"Les maoris";"Le pôle nord";"La Turquie";"La France";"La Russie";24;"Le Rhin";"Le Sri-Lanka";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";6;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";"Fidelio";"Un peintre";4;"exponnentiel";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Ole Römer";"La fusion d’atomes d’uranium";"Galton et Quetelet";"L'ensemble des complexes";"6 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;1;"Brésil";"Le surf";"Le tennis";"600 points";"Bleue";"Les centraux";12;5;1740;82;1;"Une femme";"L1";"Bac STMG"
