"hist1";"hist2";"hist3";"hist4";"hist5";"hist6";"hist7";"hist8";"hist9";"hist10";"histn";"geo1";"geo2";"geo3";"geo4";"geo5";"geo6";"geo7";"geo8";"geo9";"geo10";"geon";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"eco7";"eco8";"eco9";"eco10";"econ";"litt1";"litt2";"litt3";"litt4";"litt5";"litt6";"litt7";"litt8";"litt9";"litt10";"littn";"mat1";"mat2";"mat3";"mat4";"mat5";"mat6";"mat7";"mat8";"mat9";"mat10";"matn";"sport1";"sport2";"sport3";"sport4";"sport5";"sport6";"sport7";"sport8";"sport9";"sport10";"sportn";"sexe";"annee";"bac"
"11";"Le griffon";"Allemagne";"Lisbonne";"Napoléon";"Allemagne";"Neil Armstrong";"750 ans";"Henri IV";"La Sorbonne";"Hypérion et Rhéa";6;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"La France";"La Russie";12;"Le Danube";"La Tanzanie";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";8;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";NA;"Voltaire";"Cosette";"Florence";"Fidelio";NA;8;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";NA;6;"Italie";"Le surf";"Le volley-ball";"200 points";"Orange";"Les défenseurs";16;6;1896;82;6;"Une femme";"L1";"Bac S"
"12";"Le griffon";"Angleterre";"Rome";"Louis XVI";"France";"Michael Coolins";"1000 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";3;"Cuba";"Les maoris";"Le pôle sud";"L'Ukraine";"L'Allemagne";"La France";24;"Le Danube";"Le Kenya";4;3;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";3;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Pilgrim";"Voltaire";"Eponine";"Venise";"Fidelio";"Un couturier";2;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"5 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";6;2;"Italie";"La pétanque";"Le volley-ball";"200 points";"Bleue";"Les attaquants";16;5;1903;82;2;"Un homme";"L3";"Bac ES"
"13";"Le sphinx";"France";"Lisbonne";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";5;"Panama";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"Le Kenya";8;3;"Taxe";"Les ressources sont limités";"David Ricardo";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";6;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Molière";"Cosette";"Florence";"l’hymne à la joie";"Un compositeur d’opéra";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Galilée";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des réels";"7 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";6;3;"Allemagne";"Le surf";"Le volley-ball";"200 points";"Bleue";"Les centraux";16;4;1903;72;5;"Un homme";"L3";"Bac ES"
"14";"Le griffon";"Angleterre";"Lisbonne";"Louis XVI";"Angleterre";"Yuri Gagarine";"750 ans";"Charlemagne";"Nanterre";"Cronos et Rhéa";4;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";4;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";9;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Pilgrim";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un écrivain";4;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;6;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les défenseurs";12;5;1896;82;5;"Un homme";"L3";"Bac S"
"15";"Le griffon";"Angleterre";"Rome";"Louis XVI";"Angleterre";"Yuri Gagarine";"500 ans";"Louis XIV";"Nanterre";"Hypérion et Rhéa";4;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";4;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";9;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un écrivain";4;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;5;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les attaquants";12;5;1903;82;5;"Un homme";"L3";"Bac S"
"16";"Le griffon";"Allemagne";"Rome";"Napoléon";"Angleterre";"Neil Armstrong";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"La Russie";24;"Le Danube";"Le Kenya";8;8;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";8;"Le renard";"Hansel et Gretel";"Une toupie";"Jean-Baptiste";"Pilgrim";"Voltaire";"Eponine";"Naples";"Don Giovanni";"Un peintre";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;8;"Italie";"Le rugby à sept";"Le volley-ball";"300 points";"Bleue";"Les centraux";16;5;1903;88;6;"Un homme";"L1";"Bac S"
"17";"Le sphinx";"France";"Rome";"Napoléon II";"Angleterre";"Neil Armstrong";"1000 ans";"Henri IV";"La Sorbonne";"Hypérion et Rhéa";5;"Panama";"Les aborigènes";"Le pôle sud";"La Turquie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"Le Sri-Lanka";6;8;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";7;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Fantine";"Florence";"La lettre à Élise";"Un écrivain";6;"exponnentiel";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des complexes";"7 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;5;"Italie";"Le rugby à sept";"Le tennis";"400 points";"Bleue";"Le goal";16;6;1896;82;6;"Un homme";"L1";"Bac ES"
"18";"Le sphinx";"Allemagne";"Lisbonne";"Louis XVI";"Angleterre";"Yuri Gagarine";"1000 ans";"Louis XIV";"Nanterre";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"L'Allemagne";12;"La Volga";"La Tanzanie";4;6;"Taxe";"Les ressources sont limités";"Adam Smith";"Le choc pétrolier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"Zéro pour les étudiants qui gagneront un meilleur salaire grâce à leurs études";"Redistributif";"La hausse du prix modifie la quantité consommée";9;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Florence";"Fidelio";"Un peintre";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse d’un objet dans le vide";"Albert Einstein";"La fission d’atomes d’uranium";"Gausse et Galton";"L'ensemble des réels";"8 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;5;"Italie";"Le surf";"Le volley-ball";"400 points";"Jaune";"Le goal";12;4;1896;88;7;"Un homme";"L2";"Bac ES"
"19";"Le sphinx";"Angleterre";"Rome";"Napoléon";"Angleterre";"Neil Armstrong";"750 ans";"Charlemagne";"La Sorbonne";"Cronos et Rhéa";2;"Cuba";"Les aborigènes";"Le pôle sud";"La Turquie";"L'Allemagne";"La Chine";24;"La Volga";"Le Kenya";6;3;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix modifie la quantité consommée";3;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Voltaire";"Eponine";"Vérone";"Fidelio";"Un écrivain";4;"exponentielle";"La découvert du photon";"La vitesse d’un objet dans le vide";"Galilée";"La fission d’atomes de plutonium";"Gausse et Laplace";"L'ensemble des réels";"5 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;2;"Italie";"Le judo";"Le volley-ball";"200 points";"Bleue";"Les défenseurs";12;4;1896;75;1;"Une femme";"L2";"Bac S"
"20";"Le griffon";"Chine";"Lisbonne";"Napoléon";"Angleterre";"Yuri Gagarine";"750 ans";"Louis XIV";"Panthéon-Assas";"Cronos et Rhéa";3;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"Le Royaume-Uni";"L'Allemagne";12;"Le Danube";"Le Kenya";4;4;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La baisse du prix modifie la quantité consommée";6;"Le renard";"Le chat botté";"Une bague";"Jean-Baptiste";"Rossinante";"Diderot";"Fantine";"Florence";"l’hymne à la joie";"Un compositeur d’opéra";4;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse de rotation de la terre";"Galilée";"La fusion d’atomes de plutonium";"Gausse et Laplace";"L'ensemble des complexes";"7 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;5;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les défenseurs";24;6;1896;88;4;"Un homme";"L1";"Bac ES"
